QID,Version,QuestionIndex,Tags,ShortReason,Severity,Content
"01K2G2QP6ZDZJ0G63VF3GHWX1P",1,34,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown'","medium","Symétries multiples et rotations..."
"01K2G2QP78FCF49QQZZDB2WV3T",1,36,"alphabet_mismatch","Option D: alphabet 'dot' ≠ 'letter'","medium","Série C finale: intégration de tous les concepts..."
"01K2G2QP7BT4B62GM28KPACFBP",1,37,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown'","medium","Matrice 3x3 avec transformations multiples complex..."
"01K2G2QP7EW0Z49VSNXCW6C6X0",1,38,"no_solution","Aucune option ne satisfait la règle","high","Suite: n! où n = 1,2,3,4,5, donc ?..."
"01K2G2QP7HSP8ANG4GF0BD1DR8",1,39,"alphabet_mismatch","Option A: alphabet 'letter' ≠ 'shape' | Option C: alphabet 'letter' ≠ 'shape'","medium","Raisonnement modal: ◇P → □◇P, si ◇P alors ?..."
"01K2G2QP85766SFMF17DXWQDYQ",1,44,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown'","medium","Composition de transformations non-commutatives..."
"01K2G2QP89JY304PQ3N6D7A157",1,45,"alphabet_mismatch","Option A: alphabet 'number' ≠ 'letter' | Option B: alphabet 'number' ≠ 'letter' | Option C: alphabet 'number' ≠ 'letter' | Option D: alphabet 'number' ≠ 'letter'","medium","Théorie des ensembles: P(A∪B) si |A|?, |B|?, |A∩B|..."
"01K2G2QP8BTTSN1DEBYPHW40FP",1,46,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown'","medium","Tessellation complexe avec contraintes..."
"01K2G2QP8DRGDCS4JZN7J3RF86",1,47,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown' | Option A: alphabet 'number' ≠ 'shape' | Option B: alphabet 'number' ≠ 'shape' | Option C: alphabet 'number' ≠ 'shape' | Option D: alphabet 'number' ≠ 'shape'","medium","Suite récurrente: a(n) = a(n?) + a(n?) + a(n?)..."
"01K2G2QP8K2Y29SHETJ8HKNJM3",1,49,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown'","medium","Matrice 4x4 avec règles interdépendantes..."
"01K2G2QP8QY0W7TQR4WZWB89DW",1,51,"alphabet_mismatch","Option A: alphabet 'letter' ≠ 'shape'","medium","Logique temporelle: □◇P ∧ ◇□Q → ?..."
"01K2G2QP8T6DT67NSCERTNXGV2",1,52,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown'","medium","Hypercube en projection 2D avec rotations..."
"01K2G2QP8Z5P2BJAJ5F9Q3WFQB",1,54,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown' | Option A: alphabet 'semicircle' ≠ 'shape' | Option B: alphabet 'semicircle' ≠ 'shape' | Option C: alphabet 'semicircle' ≠ 'shape' | Option D: alphabet 'semicircle' ≠ 'shape'","medium","Transformation topologique préservant l'homéomorph..."
"01K2G2QP91WZDW95YH5TBEZQRN",1,55,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown' | Option A: alphabet 'number' ≠ 'shape' | Option B: alphabet 'number' ≠ 'shape' | Option C: alphabet 'number' ≠ 'shape' | Option D: alphabet 'number' ≠ 'shape'","medium","Théorie des graphes: chromatic number du graphe de..."
"01K2G2QP93F8PCVGHTK9BNSP4R",1,56,"alphabet_mismatch","Alphabet déclaré 'shape' ≠ détecté 'unknown'","medium","Groupe de symétrie D6 appliqué à un hexagone..."
"01K2G2QP96S1164NE023CTXC0G",1,58,"alphabet_mismatch;decorative_colors","Alphabet déclaré 'shape' ≠ détecté 'unknown' | Couleur ""rose"" mentionnée (distraction)","low","Pavage non-périodique de Penrose..."
